1075	1100	1125	1150	1170
294.15	272.45	251.25	230.7	214.15	210.3
304.15	282.3	260.8	239.65	223.2	219
304.15	282.3	260.8	239.65	223.2	219
297.9	276.2	254.9	233.6	217.8	213.75
288.05	266.95	245.85	225.05	208.8	204.9
286.3	264.8	244	223.1	207.2	202.9
273.4	252.1	231.45	211.15	195.55	191.55
274.2	252.9	231.95	211.5	195.4	191.6
267.3	246.1	225.5	205.25	189.45	185.65
286.35	264.4	243.25	222.45	205.75	202.15
281.5	259.8	238.5	217.75	201.75	197.45
290.2	268.4	246.7	225.6	208.75	205
298.3	276.25	254.55	233.4	216.5	212.4
301.75	279.65	258.1	236.55	219.8	215.7
291.2	269.6	247.95	227	210.7	206.45
280.3	258.85	237.7	217.1	200.75	196.45
269.95	247.85	227.15	206.95	190.85	187.4
271.1	249.8	228.95	208.55	193.8	189.95
