"Date","IUDMNPY","IUDSNPY"
"14 Jun 22","2.5249","2.2518"
"13 Jun 22","2.4819","2.2438"
"10 Jun 22","2.4046","2.1649"
"09 Jun 22","2.2972","2.0073"
"08 Jun 22","2.2207","1.9146"
"07 Jun 22","2.1854","1.9057"
"06 Jun 22","2.2435","1.9372"
"01 Jun 22","2.1294","1.8093"
"31 May 22","2.1072","1.7627"
"30 May 22","1.9786","1.6792"
"27 May 22","1.9216","1.6144"
"26 May 22","1.9727","1.668"
"25 May 22","1.8999","1.6199"
"24 May 22","1.8746","1.601"
"23 May 22","1.984","1.7232"
"20 May 22","1.8993","1.6464"
"19 May 22","1.8793","1.629"
"18 May 22","1.8659","1.6111"
"17 May 22","1.8839","1.6157"
"16 May 22","1.7388","1.4099"
"13 May 22","1.7448","1.4103"
"12 May 22","1.7028","1.3688"
"11 May 22","1.8623","1.519"
"10 May 22","1.8438","1.518"
"09 May 22","1.9488","1.6117"
"06 May 22","2.0088","1.7107"
"05 May 22","1.9651","1.6976"
"04 May 22","1.9901","1.7673"
"03 May 22","1.9722","1.7488"
"29 Apr 22","1.9376","1.7111"
"28 Apr 22","1.8892","1.6612"
"27 Apr 22","1.8347","1.6144"
"26 Apr 22","1.8123","1.6017"
"25 Apr 22","1.8692","1.6633"
"22 Apr 22","1.9767","1.7558"
"21 Apr 22","1.9958","1.8198"
"20 Apr 22","1.9321","1.694"
"19 Apr 22","2.0018","1.7299"
"14 Apr 22","1.899","1.6456"
"13 Apr 22","1.8443","1.5904"
"12 Apr 22","1.8189","1.6026"
"11 Apr 22","1.8555","1.65"
"08 Apr 22","1.8111","1.5446"
"07 Apr 22","1.7843","1.5508"
"06 Apr 22","1.7691","1.5583"
"05 Apr 22","1.7111","1.5009"
"04 Apr 22","1.6199","1.4171"
"01 Apr 22","1.5251","1.4249"
"31 Mar 22","1.6696","1.422"
"30 Mar 22","1.6946","1.4328"
"29 Mar 22","1.693","1.429"
"28 Mar 22","1.6646","1.4196"
"25 Mar 22","1.7315","1.463"
"24 Mar 22","1.6858","1.3956"
"23 Mar 22","1.7071","1.4354"
"22 Mar 22","1.7051","1.4664"
"21 Mar 22","1.6378","1.3594"
"18 Mar 22","1.5289","1.2353"
"17 Mar 22","1.5911","1.3505"
"16 Mar 22","1.6552","1.3996"
"15 Mar 22","1.6164","1.3615"
"14 Mar 22","1.6167","1.4171"
"11 Mar 22","1.5403","1.3401"
"10 Mar 22","1.5594","1.3456"
"09 Mar 22","1.5345","1.3421"
"08 Mar 22","1.4346","1.263"
"07 Mar 22","1.3179","1.1145"
"04 Mar 22","1.2186","1.0091"
"03 Mar 22","1.3338","1.1404"
"02 Mar 22","1.2703","1.0723"
"01 Mar 22","1.1453","0.8821"
"28 Feb 22","1.4233","1.1505"
"25 Feb 22","1.4804","1.2115"
"24 Feb 22","1.4868","1.2518"
"23 Feb 22","1.5395","1.2839"
"22 Feb 22","1.5134","1.2971"
"21 Feb 22","1.4648","1.2365"
"18 Feb 22","1.4593","1.2436"
"17 Feb 22","1.5255","1.2903"
"16 Feb 22","1.5806","1.3633"
"15 Feb 22","1.6062","1.4639"
"14 Feb 22","1.6179","1.4264"
"11 Feb 22","1.5874","1.3799"
"10 Feb 22","1.5719","1.3595"
"09 Feb 22","1.4716","1.2592"
"08 Feb 22","1.5434","1.3309"
"07 Feb 22","1.463","1.2691"
"04 Feb 22","1.4391","1.2493"
"03 Feb 22","1.3968","1.2064"
"02 Feb 22","1.2765","1.0807"
"01 Feb 22","1.3344","1.1243"
"31 Jan 22","1.3348","1.1161"
"28 Jan 22","1.2658","1.0454"
"27 Jan 22","1.2588","1.0409"
"26 Jan 22","1.2292","1.0046"
"25 Jan 22","1.1771","0.9631"
"24 Jan 22","1.1525","0.9415"
"21 Jan 22","1.1964","0.9705"
"20 Jan 22","1.2468","1.0092"
"19 Jan 22","1.2939","1.0465"
"18 Jan 22","1.2381","0.9942"
"17 Jan 22","1.2015","0.9573"
"14 Jan 22","1.1673","0.9224"
"13 Jan 22","1.1474","0.9038"
"12 Jan 22","1.1839","0.944"
"11 Jan 22","1.2063","0.9635"
"10 Jan 22","1.2208","0.9694"
"07 Jan 22","1.1948","0.9437"
"06 Jan 22","1.1712","0.925"
"05 Jan 22","1.1028","0.8639"
"04 Jan 22","1.1133","0.8617"
"31 Dec 21","1.013","0.7725"
"30 Dec 21","0.9821","0.7547"
"29 Dec 21","1.0112","0.7818"
"24 Dec 21","0.9206","0.7115"
"23 Dec 21","0.9414","0.7192"
"22 Dec 21","0.8951","0.6874"
"21 Dec 21","0.9204","0.6737"
"20 Dec 21","0.8124","0.5783"
"17 Dec 21","0.8103","0.5739"
"16 Dec 21","0.7805","0.552"
"15 Dec 21","0.764","0.5196"
"14 Dec 21","0.7546","0.5001"
